model,accuracy,precision,recall,f1,auc
SVM,0.677037037037037,0.4900398406374502,0.5774647887323944,0.5301724137931034,0.6880830437168466
Logistic Regression,0.6725925925925926,0.4841269841269841,0.5727699530516432,0.524731182795699,0.6933875983171758
Logistic Regression (L1 Regularized),0.6711111111111111,0.4822134387351778,0.5727699530516432,0.5236051502145923,0.6878798040769871
Stacking Ensemble (RF+XGB+LGBM → LogReg),0.6888888888888889,0.5063829787234042,0.5586854460093896,0.53125,0.6986413430075402
LightGBM,0.6681481481481482,0.4777327935222672,0.5539906103286385,0.5130434782608696,0.6807156067719448
LightGBM (from 05b),0.6681481481481482,0.4777327935222672,0.5539906103286385,0.5130434782608696,0.6807156067719448
LightGBM (standalone),0.6681481481481482,0.4777327935222672,0.5539906103286385,0.5130434782608696,0.6807156067719448
XGBoost (standalone),0.7081481481481482,0.536697247706422,0.5492957746478874,0.54292343387471,0.6966800804828974
Random Forest,0.7111111111111111,0.5420560747663551,0.5446009389671361,0.5433255269320844,0.698458427331667
Random Forest (standalone),0.7111111111111111,0.5420560747663551,0.5446009389671361,0.5433255269320844,0.698458427331667
Decision Tree,0.6933333333333334,0.5136363636363637,0.5305164319248826,0.5219399538106235,0.6793081722659187
XGBoost,0.6918518518518518,0.5113122171945701,0.5305164319248826,0.5207373271889401,0.7042863240046338
XGBoost (from 05b),0.6918518518518518,0.5113122171945701,0.5305164319248826,0.5207373271889401,0.7042863240046338
AdaBoost,0.7155555555555555,0.5561497326203209,0.488262910798122,0.52,0.6543046155722212
KNN,0.6888888888888889,0.5126050420168067,0.2863849765258216,0.3674698795180723,0.6590146942259617
KNN (scaled),0.6888888888888889,0.5126050420168067,0.2863849765258216,0.3674698795180723,0.6590146942259617
