,XGBoost,RandomForest,LightGBM
antenatal_visits_filled,0.031062568,0.005728723452279212,0.0657342537659084
had_recent_birth,0.0120261945,0.0019508449352481432,0.036069432531307184
secoreg,0.007665565,0.04961118037913906,0.03952237516557385
v012,0.09700832,0.012734789784758794,0.2105585634242049
v013,0.0,0.008504990224394016,0.002135817763599591
v024,0.14734487,0.022190125939252833,0.2029413312435967
v040,0.69319904,0.0932977540591666,0.7432142422991642
v106,0.014644036,0.0031323897165868556,0.0332787433610301
v113,0.019265944,0.017211710883891954,0.06273777769094899
v116,0.05443865,0.012937748899841542,0.0966449945480132
v133,0.05204658,0.009432461817733892,0.12322298454320828
v190a,0.023121668,0.013056293994542978,0.05065933111229788
